source_file,clip_file,clip_index,duration,pothole,gps_data
input_videos\GRMN0954.MP4,output_clips\GRMN0954_clip_000.mp4,0,10.021333,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 37), 'latitude': 41.7474262788892, 'longitude': -88.17819569259886}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 38), 'latitude': 41.7474306374788, 'longitude': -88.17788187414416}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 39), 'latitude': 41.7474318947643, 'longitude': -88.17757979035386}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 40), 'latitude': 41.7474339064211, 'longitude': -88.17726194858555}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 41), 'latitude': 41.7474370077252, 'longitude': -88.17695517092946}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 42), 'latitude': 41.7474406119436, 'longitude': -88.17664906382565}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 43), 'latitude': 41.7474453058094, 'longitude': -88.17635050043465}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 44), 'latitude': 41.7474487423897, 'longitude': -88.17604011856025}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 45), 'latitude': 41.7474513407797, 'longitude': -88.17573987878866}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 46), 'latitude': 41.7474536877126, 'longitude': -88.17542924545715}]"
input_videos\GRMN0954.MP4,output_clips\GRMN0954_clip_001.mp4,1,10.016333,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 47), 'latitude': 41.7474577110261, 'longitude': -88.17513001151386}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 48), 'latitude': 41.7474622372538, 'longitude': -88.17482197657236}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 49), 'latitude': 41.7474666796625, 'longitude': -88.17452886141845}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 50), 'latitude': 41.747470702976, 'longitude': -88.1742292083855}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 51), 'latitude': 41.7474742233753, 'longitude': -88.17393911071126}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 52), 'latitude': 41.7474769055843, 'longitude': -88.17364985123285}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 53), 'latitude': 41.7474802583456, 'longitude': -88.17336251959254}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 54), 'latitude': 41.7474846169353, 'longitude': -88.17306278273466}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 55), 'latitude': 41.7474880535156, 'longitude': -88.17276472225795}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 56), 'latitude': 41.7474906519055, 'longitude': -88.17246967926626}]"
input_videos\GRMN0954.MP4,output_clips\GRMN0954_clip_002.mp4,2,10.011333,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 57), 'latitude': 41.7474929150194, 'longitude': -88.17217203788465}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 58), 'latitude': 41.7474950943142, 'longitude': -88.17187070846565}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 56, 59), 'latitude': 41.7474985308945, 'longitude': -88.17158614285296}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57), 'latitude': 41.747502554208, 'longitude': -88.17130266688766}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 1), 'latitude': 41.7475061584264, 'longitude': -88.17102757282565}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 2), 'latitude': 41.7475087568164, 'longitude': -88.17075314931576}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 3), 'latitude': 41.747510349378, 'longitude': -88.17048786208035}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 4), 'latitude': 41.7475115228444, 'longitude': -88.17022467032075}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 5), 'latitude': 41.7475138697773, 'longitude': -88.16997522488245}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 6), 'latitude': 41.747510433197, 'longitude': -88.16972242668274}]"
input_videos\GRMN0954.MP4,output_clips\GRMN0954_clip_003.mp4,3,10.028667,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 7), 'latitude': 41.7475002072752, 'longitude': -88.16947599872955}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 8), 'latitude': 41.7474955972284, 'longitude': -88.16921238787475}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 9), 'latitude': 41.7474961839616, 'longitude': -88.16896336153155}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 10), 'latitude': 41.7474995367229, 'longitude': -88.16870964132255}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 11), 'latitude': 41.7475030571222, 'longitude': -88.16846841014925}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 12), 'latitude': 41.7475068289787, 'longitude': -88.16822885535665}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 13), 'latitude': 41.7475099302828, 'longitude': -88.16799801774324}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 14), 'latitude': 41.7475119419396, 'longitude': -88.16776684485384}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 15), 'latitude': 41.7475141212344, 'longitude': -88.16754707135264}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 16), 'latitude': 41.7475168872625, 'longitude': -88.16732402890923}]"
input_videos\GRMN0954.MP4,output_clips\GRMN0954_clip_004.mp4,4,10.023333,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 17), 'latitude': 41.7475196532905, 'longitude': -88.16711246967324}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 18), 'latitude': 41.7475227545947, 'longitude': -88.16690149717034}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 19), 'latitude': 41.7475299630314, 'longitude': -88.16669303923854}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 20), 'latitude': 41.7475407756865, 'longitude': -88.16649287939073}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 21), 'latitude': 41.7475517559797, 'longitude': -88.16629515029494}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 22), 'latitude': 41.7475648317486, 'longitude': -88.16607696935534}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 23), 'latitude': 41.7475726269186, 'longitude': -88.16585602238774}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 24), 'latitude': 41.7475767340511, 'longitude': -88.16562920808794}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 25), 'latitude': 41.7475851997733, 'longitude': -88.16540507599714}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 26), 'latitude': 41.7475926596671, 'longitude': -88.16517080180354}]"
input_videos\GRMN0954.MP4,output_clips\GRMN0954_clip_005.mp4,5,10.01,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 27), 'latitude': 41.7475967667997, 'longitude': -88.16495119594045}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 28), 'latitude': 41.7476008739322, 'longitude': -88.16472102887934}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 29), 'latitude': 41.7476033046842, 'longitude': -88.16449304111343}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 30), 'latitude': 41.7476067412645, 'longitude': -88.16424929536885}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 31), 'latitude': 41.7476110160351, 'longitude': -88.16400135867345}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 32), 'latitude': 41.7476162966341, 'longitude': -88.16373732872314}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 33), 'latitude': 41.747623924166, 'longitude': -88.16347212530675}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 34), 'latitude': 41.7476314678788, 'longitude': -88.16320373676724}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 34), 'latitude': 41.747637335211, 'longitude': -88.16296652890745}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 36), 'latitude': 41.7476438730955, 'longitude': -88.16269210539765}]"
input_videos\GRMN0955.MP4,output_clips\GRMN0955_clip_000.mp4,0,10.014333,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 37), 'latitude': 41.7476489022374, 'longitude': -88.16244668327275}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 38), 'latitude': 41.7476533446461, 'longitude': -88.16218810155995}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 39), 'latitude': 41.7476567812264, 'longitude': -88.16194284707315}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 40), 'latitude': 41.7476613912731, 'longitude': -88.16168971359734}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 41), 'latitude': 41.7476671747863, 'longitude': -88.16144387237735}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 42), 'latitude': 41.7476729582995, 'longitude': -88.16119677387185}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 43), 'latitude': 41.7476777359843, 'longitude': -88.16096107475464}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 44), 'latitude': 41.7476816754788, 'longitude': -88.16071330569685}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 45), 'latitude': 41.7476859502494, 'longitude': -88.16047383472325}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 46), 'latitude': 41.7476889677346, 'longitude': -88.16021516919145}]"
input_videos\GRMN0955.MP4,output_clips\GRMN0955_clip_001.mp4,1,10.01,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 47), 'latitude': 41.7476947512478, 'longitude': -88.15996203571565}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 48), 'latitude': 41.7477010376751, 'longitude': -88.15969708375634}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 49), 'latitude': 41.7477079946548, 'longitude': -88.15943229943515}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 50), 'latitude': 41.7477149516344, 'longitude': -88.15916483290495}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 51), 'latitude': 41.7477207351476, 'longitude': -88.15891723148525}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 52), 'latitude': 41.7477255128324, 'longitude': -88.15865596756345}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 53), 'latitude': 41.747729787603, 'longitude': -88.15840601921084}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 54), 'latitude': 41.7477342300117, 'longitude': -88.15815791487695}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 55), 'latitude': 41.7477384209633, 'longitude': -88.15791903063655}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 56), 'latitude': 41.7477434501052, 'longitude': -88.15767369233075}]"
input_videos\GRMN0955.MP4,output_clips\GRMN0955_clip_002.mp4,2,10.026667,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 57), 'latitude': 41.7477491497993, 'longitude': -88.15743816085164}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 58), 'latitude': 41.7477545142174, 'longitude': -88.15720078535384}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 57, 59), 'latitude': 41.7477583698928, 'longitude': -88.15698151476684}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58), 'latitude': 41.7477623093873, 'longitude': -88.15675704739994}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 1), 'latitude': 41.7477669194341, 'longitude': -88.15654146485033}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 2), 'latitude': 41.7477713618428, 'longitude': -88.15631733275954}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 3), 'latitude': 41.7477752175182, 'longitude': -88.15609345212584}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 4), 'latitude': 41.747779827565, 'longitude': -88.15585481934254}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 5), 'latitude': 41.7477858625352, 'longitude': -88.15561736002564}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 6), 'latitude': 41.747790472582, 'longitude': -88.15537621267144}]"
input_videos\GRMN0955.MP4,output_clips\GRMN0955_clip_003.mp4,3,10.021333,False,"[{'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 7), 'latitude': 41.7477934062481, 'longitude': -88.15514663234354}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 8), 'latitude': 41.7477970942855, 'longitude': -88.15491034649314}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 9), 'latitude': 41.7478009499609, 'longitude': -88.15466894768184}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 10), 'latitude': 41.7478053085506, 'longitude': -88.15442637540444}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 11), 'latitude': 41.7478097509593, 'longitude': -88.15419528633365}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 12), 'latitude': 41.7478136066347, 'longitude': -88.15396067686385}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 13), 'latitude': 41.7478173784912, 'longitude': -88.15374014899135}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 14), 'latitude': 41.7478206474334, 'longitude': -88.15350763499744}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 15), 'latitude': 41.7478245869279, 'longitude': -88.15329188480975}, {'timestamp': datetime.datetime(2025, 4, 19, 1, 58, 16), 'latitude': 41.7478283587843, 'longitude': -88.15306381322443}]"
